exID,pairID,responseID,ground_truth,response3,reported_difficulty
168,264,499,Mates,1,NA
23,264,500,Mates,2,NA
10,729,501,Non-mates,NA,NA
140,729,502,Non-mates,NA,NA
142,729,503,Non-mates,NA,NA
42,729,504,Non-mates,NA,NA
164,729,505,Non-mates,NA,NA
146,729,506,Non-mates,NA,NA
51,729,507,Non-mates,2,NA
123,729,508,Non-mates,NA,NA
96,729,509,Non-mates,NA,NA
60,729,510,Non-mates,2,NA
62,729,511,Non-mates,NA,NA
153,729,512,Non-mates,NA,NA
105,729,513,Non-mates,NA,NA
90,729,514,Non-mates,NA,NA
110,729,515,Non-mates,NA,NA
36,729,516,Non-mates,2,NA
92,729,517,Non-mates,NA,NA
118,729,518,Non-mates,1,NA
76,729,519,Non-mates,NA,NA
122,729,520,Non-mates,NA,NA
53,729,521,Non-mates,NA,NA
148,729,522,Non-mates,2,NA
168,729,523,Non-mates,NA,NA
23,729,524,Non-mates,NA,NA
102,521,525,Non-mates,1,2
130,521,526,Non-mates,1,NA
87,521,527,Non-mates,1,2
64,521,528,Non-mates,1,NA
7,521,529,Non-mates,1,2
8,521,530,Non-mates,1,2
39,521,531,Non-mates,1,2
140,521,532,Non-mates,1,NA
117,521,533,Non-mates,1,NA
41,521,534,Non-mates,1,2
164,521,535,Non-mates,1,NA
21,521,536,Non-mates,1,2
123,521,537,Non-mates,1,2
151,521,538,Non-mates,1,NA
56,521,539,Non-mates,1,2
25,521,540,Non-mates,1,4
3,521,541,Non-mates,2,NA
5,521,542,Non-mates,1,2
6,521,543,Non-mates,1,2
34,521,544,Non-mates,1,1
91,521,545,Non-mates,1,NA
136,521,546,Non-mates,1,2
37,521,547,Non-mates,1,2
114,521,548,Non-mates,1,NA
159,521,549,Non-mates,1,2
73,521,550,Non-mates,1,NA
163,521,551,Non-mates,1,NA
52,521,552,Non-mates,1,2
147,521,553,Non-mates,1,2
167,521,554,Non-mates,1,2
78,521,555,Non-mates,1,2
82,628,556,Non-mates,1,2
102,628,557,Non-mates,1,2
106,628,558,Non-mates,1,1
7,628,559,Non-mates,1,NA
89,628,560,Non-mates,1,1
113,628,561,Non-mates,1,NA
45,628,562,Non-mates,1,NA
17,628,563,Non-mates,1,NA
145,628,564,Non-mates,1,1
146,628,565,Non-mates,1,NA
77,628,566,Non-mates,1,NA
150,628,567,Non-mates,1,1
79,628,568,Non-mates,1,2
2,628,569,Non-mates,1,1
81,628,570,Non-mates,1,1
27,628,571,Non-mates,1,1
103,628,572,Non-mates,1,2
29,628,573,Non-mates,1,2
32,628,574,Non-mates,1,NA
155,628,575,Non-mates,2,4
108,628,576,Non-mates,1,NA
109,628,577,Non-mates,1,2
11,628,578,Non-mates,1,NA
111,628,579,Non-mates,1,2
137,628,580,Non-mates,1,2
13,628,581,Non-mates,1,2
158,628,582,Non-mates,1,NA
115,628,583,Non-mates,1,2
15,628,584,Non-mates,NA,NA
141,628,585,Non-mates,1,2
160,628,586,Non-mates,1,2
74,628,587,Non-mates,1,NA
75,628,588,Non-mates,1,NA
93,628,589,Non-mates,1,2
46,628,590,Non-mates,1,1
18,628,591,Non-mates,1,2
48,628,592,Non-mates,1,NA
94,628,593,Non-mates,1,2
19,628,594,Non-mates,1,NA
97,628,595,Non-mates,NA,NA
125,628,596,Non-mates,1,1
98,628,597,Non-mates,1,2
87,490,598,Mates,NA,NA
64,490,599,Mates,2,4
113,490,600,Mates,2,NA
72,490,601,Mates,2,4
17,490,602,Mates,NA,NA
146,490,603,Mates,NA,NA
51,490,604,Mates,NA,NA
25,490,605,Mates,NA,NA
58,490,606,Mates,NA,NA
153,490,607,Mates,NA,NA
134,490,608,Mates,NA,NA
111,490,609,Mates,NA,NA
70,490,610,Mates,NA,NA
94,490,611,Mates,1,NA
22,490,612,Mates,NA,NA
99,490,613,Mates,2,NA
82,509,614,Mates,2,5
4,509,615,Mates,2,4
84,509,616,Mates,2,4
140,509,617,Mates,2,NA
40,509,618,Mates,2,4
96,509,619,Mates,2,NA
1,509,620,Mates,NA,NA
127,509,621,Mates,2,NA
103,509,622,Mates,2,NA
62,509,623,Mates,2,NA
86,509,624,Mates,2,4
88,509,625,Mates,2,NA
108,509,626,Mates,2,4
11,509,627,Mates,2,NA
136,509,628,Mates,2,5
143,509,629,Mates,2,NA
75,509,630,Mates,2,4
166,509,631,Mates,2,NA
19,509,632,Mates,2,NA
53,509,633,Mates,2,4
102,546,634,Non-mates,1,NA
106,546,635,Non-mates,1,2
10,546,636,Non-mates,1,2
72,546,637,Non-mates,1,NA
45,546,638,Non-mates,1,4
164,546,639,Non-mates,1,NA
146,546,640,Non-mates,1,NA
169,546,641,Non-mates,1,NA
55,546,642,Non-mates,1,NA
80,546,643,Non-mates,1,NA
101,546,644,Non-mates,1,4
57,546,645,Non-mates,1,2
127,546,646,Non-mates,1,NA
58,546,647,Non-mates,1,2
83,546,648,Non-mates,1,4
61,546,649,Non-mates,1,2
30,546,650,Non-mates,1,2
65,546,651,Non-mates,1,NA
138,546,652,Non-mates,1,4
68,546,653,Non-mates,1,2
70,546,654,Non-mates,1,NA
161,546,655,Non-mates,1,NA
43,546,656,Non-mates,1,2
16,546,657,Non-mates,1,1
22,546,658,Non-mates,1,NA
149,546,659,Non-mates,1,2
82,625,660,Non-mates,1,1
84,625,661,Non-mates,1,1
39,625,662,Non-mates,1,1
140,625,663,Non-mates,1,NA
117,625,664,Non-mates,1,2
41,625,665,Non-mates,1,2
17,625,666,Non-mates,1,2
51,625,667,Non-mates,1,2
96,625,668,Non-mates,1,2
103,625,669,Non-mates,1,2
141,625,670,Non-mates,1,2
75,625,671,Non-mates,1,2
93,625,672,Non-mates,1,2
46,625,673,Non-mates,1,NA
98,625,674,Non-mates,1,NA
102,632,675,Non-mates,2,NA
39,632,676,Non-mates,NA,NA
140,632,677,Non-mates,NA,NA
72,632,678,Non-mates,NA,NA
95,632,679,Non-mates,NA,NA
20,632,680,Non-mates,2,NA
77,632,681,Non-mates,NA,NA
54,632,682,Non-mates,1,NA
152,632,683,Non-mates,2,2
28,632,684,Non-mates,NA,NA
104,632,685,Non-mates,NA,NA
133,632,686,Non-mates,NA,NA
107,632,687,Non-mates,2,NA
154,632,688,Non-mates,2,4
88,632,689,Non-mates,2,NA
134,632,690,Non-mates,NA,NA
156,632,691,Non-mates,NA,NA
35,632,692,Non-mates,NA,NA
112,632,693,Non-mates,NA,NA
162,632,694,Non-mates,NA,NA
50,632,695,Non-mates,2,NA
100,632,696,Non-mates,NA,NA
106,125,697,Mates,3,4
7,125,698,Mates,3,NA
142,125,699,Mates,3,4
42,125,700,Mates,2,NA
146,125,701,Mates,3,4
51,125,702,Mates,3,4
24,125,703,Mates,3,4
126,125,704,Mates,3,NA
79,125,705,Mates,3,4
2,125,706,Mates,3,NA
81,125,707,Mates,3,2
129,125,708,Mates,3,NA
153,125,709,Mates,3,NA
105,125,710,Mates,2,NA
90,125,711,Mates,3,NA
137,125,712,Mates,3,NA
158,125,713,Mates,3,NA
115,125,714,Mates,2,4
139,125,715,Mates,3,NA
141,125,716,Mates,3,NA
46,125,717,Mates,2,4
48,125,718,Mates,3,4
94,125,719,Mates,3,2
165,125,720,Mates,2,NA
166,125,721,Mates,3,2
122,125,722,Mates,2,4
19,125,723,Mates,3,NA
53,125,724,Mates,3,4
97,125,725,Mates,2,4
98,125,726,Mates,3,4
4,700,727,Non-mates,NA,NA
130,700,728,Non-mates,2,NA
87,700,729,Non-mates,NA,NA
64,700,730,Non-mates,NA,NA
7,700,731,Non-mates,NA,NA
89,700,732,Non-mates,2,4
135,700,733,Non-mates,NA,NA
38,700,734,Non-mates,NA,NA
40,700,735,Non-mates,NA,NA
117,700,736,Non-mates,NA,NA
42,700,737,Non-mates,1,4
72,700,738,Non-mates,NA,NA
45,700,739,Non-mates,NA,NA
17,700,740,Non-mates,1,4
146,700,741,Non-mates,2,NA
124,700,742,Non-mates,NA,NA
169,700,743,Non-mates,NA,NA
151,700,744,Non-mates,NA,NA
1,700,745,Non-mates,NA,NA
24,700,746,Non-mates,NA,NA
126,700,747,Non-mates,NA,NA
56,700,748,Non-mates,2,2
25,700,749,Non-mates,NA,NA
26,700,750,Non-mates,2,5
3,700,751,Non-mates,NA,NA
129,700,752,Non-mates,1,NA
131,700,753,Non-mates,2,5
5,700,754,Non-mates,NA,NA
6,700,755,Non-mates,2,4
63,700,756,Non-mates,NA,NA
33,700,757,Non-mates,NA,NA
34,700,758,Non-mates,1,NA
9,700,759,Non-mates,NA,NA
66,700,760,Non-mates,NA,NA
91,700,761,Non-mates,NA,NA
136,700,762,Non-mates,1,NA
67,700,763,Non-mates,1,4
37,700,764,Non-mates,1,NA
114,700,765,Non-mates,NA,NA
139,700,766,Non-mates,2,NA
159,700,767,Non-mates,2,NA
73,700,768,Non-mates,1,NA
143,700,769,Non-mates,2,NA
163,700,770,Non-mates,2,4
165,700,771,Non-mates,NA,NA
166,700,772,Non-mates,NA,NA
49,700,773,Non-mates,NA,NA
52,700,774,Non-mates,1,NA
147,700,775,Non-mates,1,NA
167,700,776,Non-mates,NA,NA
78,700,777,Non-mates,2,NA
39,592,778,Non-mates,1,NA
14,592,779,Non-mates,2,4
117,592,780,Non-mates,2,NA
142,592,781,Non-mates,1,2
41,592,782,Non-mates,1,4
20,592,783,Non-mates,1,2
150,592,784,Non-mates,1,NA
128,592,785,Non-mates,1,4
86,592,786,Non-mates,2,4
132,592,787,Non-mates,1,NA
157,592,788,Non-mates,2,NA
12,592,789,Non-mates,1,NA
69,592,790,Non-mates,2,2
116,592,791,Non-mates,2,2
144,592,792,Non-mates,2,NA
119,592,793,Non-mates,2,4
120,592,794,Non-mates,2,4
47,592,795,Non-mates,2,NA
121,592,796,Non-mates,2,NA
99,592,797,Non-mates,2,4
4,707,798,Non-mates,1,2
130,707,799,Non-mates,1,NA
106,707,800,Non-mates,1,2
89,707,801,Non-mates,1,2
40,707,802,Non-mates,1,NA
145,707,803,Non-mates,1,1
124,707,804,Non-mates,1,NA
60,707,805,Non-mates,1,2
62,707,806,Non-mates,1,1
153,707,807,Non-mates,1,2
105,707,808,Non-mates,1,NA
90,707,809,Non-mates,1,2
110,707,810,Non-mates,1,NA
36,707,811,Non-mates,1,2
92,707,812,Non-mates,1,2
118,707,813,Non-mates,1,2
76,707,814,Non-mates,1,2
122,707,815,Non-mates,1,NA
53,707,816,Non-mates,1,NA
148,707,817,Non-mates,1,2
168,707,818,Non-mates,1,2
23,707,819,Non-mates,1,2
4,740,820,Non-mates,1,2
64,740,821,Non-mates,1,NA
7,740,822,Non-mates,1,NA
10,740,823,Non-mates,1,NA
14,740,824,Non-mates,1,2
117,740,825,Non-mates,1,NA
142,740,826,Non-mates,1,1
42,740,827,Non-mates,1,2
77,740,828,Non-mates,1,NA
55,740,829,Non-mates,1,1
79,740,830,Non-mates,1,2
56,740,831,Non-mates,1,2
127,740,832,Non-mates,1,NA
103,740,833,Non-mates,1,2
30,740,834,Non-mates,1,NA
91,740,835,Non-mates,1,NA
69,740,836,Non-mates,1,2
159,740,837,Non-mates,1,2
141,740,838,Non-mates,1,2
118,740,839,Non-mates,1,2
120,740,840,Non-mates,1,1
98,740,841,Non-mates,1,2
100,740,842,Non-mates,1,2
4,227,843,Mates,3,NA
84,227,844,Mates,3,2
87,227,845,Mates,3,NA
64,227,846,Mates,3,NA
89,227,847,Mates,3,2
140,227,848,Mates,3,NA
126,227,849,Mates,2,NA
103,227,850,Mates,3,2
155,227,851,Mates,3,NA
9,227,852,Mates,3,NA
141,227,853,Mates,3,NA
160,227,854,Mates,3,4
75,227,855,Mates,3,4
93,227,856,Mates,3,NA
46,227,857,Mates,3,2
